class_nbr,subject,catalog_nbr,class_section,descr,catalog_description,topic,units,component,class_type,acad_career_descr,instruction_mode_descr,campus_descr,location_descr,session_descr,start_dt,end_dt,enrl_stat_descr,class_capacity,enrollment_total,enrollment_available,wait_tot,wait_cap,grading_basis,combined_section,instructors
9934,ENGLISH,187A,01,Reading Theater in New York,"Theater is a live art in which one assembly of people tells a story to another: the audience. This course introduces this art from two, interwoven perspectives. First we consider the scripts as artifacts of the past. We uncover the acting, directing, and design conventions that originally animated the scripts; the spaces for which they were intended; the audiences for whom they were performed. Then we consider the scripts as blueprints for the present with the guidance of guest artists in New York (some from Duke's alumni network) and site visits to theaters and rehearsal rooms. We see productions all plays, which are chosen from that season's offerings in New York.",,1,LEC,E,Undergraduate,Study Away,Duke University,New York,Regular Academic Session,08/28/2025,12/10/2025,Closed,12,12,0,0,12,Graded,Y,R. Darren Gobert
3603,ENGLISH,187S,01,Reading Theater,"In the theater, what we read on the page is an artifact of performances that once happened as well as a blueprint for stage performances yet to come. In this course, we work as archeologists to explore the meanings of the artifact and as creators—on our feet and with our bodies—to unlock the potential meanings of the blueprint. The course focuses on six plays, drawn from different periods in history and different countries, and includes non-European and non-white perspectives.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,14,8,6,0,14,Graded,Y,Torry Bend
4840,ENGLISH,190FS-2,01,Focus Program Seminar: Topics on Literature,Topics vary each semester offered. See synopsis for more details.,MONDO WEIRDO,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,15,3,0,18,Graded,N,Taylor Henley Black
4888,ENGLISH,190S-1,01,Special Topics in Language and Literature,Topics vary each semester. See synopsis for more details.,RENAISSANCE THEATER,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,18,15,3,0,18,Graded,Y,Astrid Adele Giugni
3599,ENGLISH,202,01,Introduction to Performance Studies,"Introduction to field of performance studies, with examples drawn from music, dance, theatre, performance art, protests, rituals, and everyday life. Through comparative study of global performance, we explore the usefulness of concepts of ritual, play, and performativity as they relate to performance and technology; intercultural performance and implications and ethics of appropriation and borrowing; originality and imitation; archive and repertoire; performative writing; and the performative dimensions of gender, race, and sexuality.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,14,6,8,0,14,Graded,Y,Douglas A Jones
9939,ENGLISH,203A,01,"The Arts, Culture, and Performance of New York","This course introduces its participants to New York though its rich artistic, cultural, and performance offerings--drawn from art, dance, film, music, literature, and theater. Visiting all five boroughs, they contemplate how the identities of New Yorkers—informed by the city and by ability, class, ethnicity, gender, race, and sexuality—are performed in the theater of everyday life: in parks, streets, subways, and especially the city's diverse neighborhoods and restaurants.",,1,LEC,E,Undergraduate,Study Away,Duke University,New York,Regular Academic Session,08/28/2025,12/10/2025,Closed,12,12,0,0,12,Graded,Y,Hunter James Augeri
2859,ENGLISH,206,01,Variety in Language: English in the United States,"English language variation in the United States considered from a current sociolinguistic perspective. Social, regional, ethnic, gender, and stylistic-related language variation, along with models for describing and applying knowledge about language variation. Language variation focused on vernacular varieties of American English in general and on North Carolina in particular.",,1,LEC,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,25,11,14,0,25,Graded,Y,Gail Lynn Clements
4847,ENGLISH,220S,01,Introduction to the Writing of Poetry,"The introductory level genre specific workshops are for students with some experience in creative writing who wish to deepen their knowledge of their chosen genre and gain increased mastery of elements of craft. See synopsis for more details. While some students may have already taken English 110s (Introduction to Creative Writing), it is not required.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,14,1,0,15,Graded,N,Joseph Donahue
8914,ENGLISH,220S,02,Introduction to the Writing of Poetry,"The introductory level genre specific workshops are for students with some experience in creative writing who wish to deepen their knowledge of their chosen genre and gain increased mastery of elements of craft. See synopsis for more details. While some students may have already taken English 110s (Introduction to Creative Writing), it is not required.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,10,5,0,15,Graded,N,Frances V Leviston
4885,ENGLISH,221S,01,Introduction to the Writing of Fiction,"Introductory level genre-specific workshops for students with some experience in creative writing wishing to deepen their knowledge of their chosen genre and gain increased mastery of elements of craft. See synopsis for more details. While some students may have already taken English 110s (Introduction to Creative Writing), it is not required.",,1,SEM,E,Undergraduate,In Person,Duke University,Durham,Regular Academic Session,08/25/2025,12/05/2025,Open,15,10,5,0,15,Graded,N,Camille A Bordas
